key|volume|ects
Information générale||
Anglais scientifique|TOTAL : 16h Répartition : CM : 0h TD : 16h CI : 0h TP : 0h EAD : 0h|
Développement et exploitation|TOTAL : 23.99h Répartition : CM : 10.66h TD : 0h CI : 0h TP : 13.33h EAD : 0h|
Dualité et optimisation linéaire continue|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Introduction à l'optimisation non-linéaire différentiable|TOTAL : 24h Répartition : CM : 12h TD : 6.67h CI : 0h TP : 5.33h EAD : 0h|
Métaheuristiques|TOTAL : 24h Répartition : CM : 12h TD : 12h CI : 0h TP : 0h EAD : 0h|
Analyse exploratoire de données|TOTAL : 23.99h Répartition : CM : 10.66h TD : 5.33h CI : 0h TP : 8h EAD : 0h|
Anglais Préparation TOEIC|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
Compilation|TOTAL : 22h Répartition : CM : 0h TD : 0h CI : 22h TP : 0h EAD : 0h|
Apprentissage automatique|TOTAL : 23.99h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.66h EAD : 0h|
Professionnalisation et éthique|TOTAL : 23.99h Répartition : CM : 13.33h TD : 10.66h CI : 0h TP : 0h EAD : 0h|
Ethique|TOTAL : 12h Répartition : CM : 8h TD : 4h CI : 0h TP : 0h EAD : 0h|
Modèles probabilistes|TOTAL : 24h Répartition : CM : 16h TD : 8h CI : 0h TP : 0h EAD : 0h|
Introduction au traitement d'image|TOTAL : 24h Répartition : CM : 0h TD : 16h CI : 8h TP : 0h EAD : 0h|
Informatique temps réel et embarquée|TOTAL : 24h Répartition : CM : 12h TD : 5.33h CI : 0h TP : 6.67h EAD : 0h|
Introduction au Traitement Automatique des Langues|TOTAL : 24h Répartition : CM : 8h TD : 16h CI : 0h TP : 0h EAD : 0h|
Optimisation déterministe et stochastique|TOTAL : 60h Répartition : CM : 28h TD : 32h CI : 0h TP : 0h EAD : 0h|
stage volontaire en informatique|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
English for Scientific Communication-Online Course|TOTAL : 0h Répartition : CM : 0h TD : 0h CI : 0h TP : 0h EAD : 0h|
